date,a2c,ddpg,ppo,td3,sac,mvo,dji
2026-01-02,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1004258.2244794646,1000000.0
2026-01-05,1001882.3520821988,1003853.7904159548,1000250.163382965,1005367.5569644929,1005984.489064594,1003311.1420274533,1012293.5029628872
2026-01-06,1007475.150321411,1007389.6362709047,1000933.24507563,1009424.57774086,1013590.5205877721,1007796.7073533175,1022315.712102124
2026-01-07,999337.3608431395,997098.3180564882,999965.4379976728,994414.370136261,999924.5883968581,1004989.9670993857,1012684.1086616935
2026-01-08,1007080.9593905943,1004768.1680714265,1001129.5066723896,1003109.4628115387,1009197.7888612974,1002480.300687988,1018265.2973237616
2026-01-09,1010034.583547775,1004415.9118630219,1001551.6946080127,1004937.7263948822,1014878.7119972609,1004144.7381744172,1023183.635058339
2026-01-12,1014548.7396757047,997824.1809809648,1001357.7430075335,1003309.124415329,1012230.6544783553,1013975.0828065884,1024963.8055943005
2026-01-13,1019317.0826322477,985237.6363444978,1000822.3272325471,1000961.5476709442,998947.8132858657,1021282.5589510525,1016733.3123847682
2026-01-14,1020965.8041288297,989375.9714975434,999892.9091667895,1002275.1214301682,996449.9527670668,1019983.2556741533,1015857.80014875
2026-01-15,1028054.8673002165,989906.4318323212,999538.7218847536,1005771.5222480393,998141.774147682,1026461.3845253247,1021909.847106692
2026-01-16,1030261.6263639372,989514.547623642,1001395.2964484554,1004671.6588981247,998914.1402098463,1022395.0495047974,1020192.0055495397
2026-01-20,1012106.3192960661,978634.277840622,993811.2423965832,980306.347603569,974330.6460087432,1003193.6350728222,1002194.9973405226
2026-01-21,1028283.1123868864,994534.1043481904,997414.1408210712,992120.8367469406,984314.6595143508,1018778.0178370627,1014361.420235216
2026-01-22,1037645.1624662321,1003678.2439127045,1000602.5522098269,999530.9428641892,991562.6183539542,1019581.2915646757,1020702.1827737559
